"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"H6L5MHZU","journalArticle","2004","Nakamura, T.","Sterilized, freeze-dried amniotic membrane: a useful substrate for ocular surface reconstruction","Investigative Ophthalmology & Visual Science","","","10.1167/iovs.03-0752","","","2004","2022-01-29 21:21:22","2022-01-29 21:22:20","","93–99","","1","45","","","","","","","","","","en","","","","","","","Publisher: Association for Research in Vision and Ophthalmology (ARVO) Citation Key: nakamura2004","","/home/filipejunqueira/Zotero/storage/A9U46XGW/Nakamura - 2004 - Sterilized, freeze-dried amniotic membrane a usef.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BPIGAF3","journalArticle","2004","Versen-Höynck, Frauke von; Syring, C.; Bachmann, S.; Möller, D. E.","The influence of different preservation and sterilisation steps on the histological properties of amnion allografts–light and scanning electron microscopic studies","Cell and Tissue Banking","","","10.1023/b:catb.0000022276.47180.96","","","2004","2022-01-29 21:21:22","2022-01-29 21:22:20","","45–56","","1","5","","","","","","","","","","en","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: versen-hoynck2004","","/home/filipejunqueira/Zotero/storage/RH45P233/Versen-Höynck et al. - 2004 - The influence of different preservation and steril.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8WVHEGP","journalArticle","2010","Riau, Andri K.; Beuerman, Roger W.; Lim, Laurence S.; Mehta, Jodhbir S.","Preservation, sterilization and de-epithelialization of human amniotic membrane for use in ocular surface reconstruction","Biomaterials","","","10.1016/j.biomaterials.2009.09.034","","","2010","2022-01-29 21:21:22","2022-01-29 21:22:20","","216–225","","2","31","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: riau2010","","/home/filipejunqueira/Zotero/storage/H84XVNLL/Riau et al. - 2010 - Preservation, sterilization and de-epithelializati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWNC4I3C","journalArticle","2002","Wolkers, Willem F.; Tablin, Fern; Crowe, John H.","From anhydrobiosis to freeze-drying of eukaryotic cells","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","","","10.1016/s1095-6433(01)00505-0","","","2002","2022-01-29 21:21:23","2022-01-29 21:22:19","","535–543","","3","131","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: wolkers2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YUK8J9T","journalArticle","2015","Wehmeyer, Jennifer L.; Natesan, Shanmugasundaram; Christy, Robert J.","Development of a Sterile Amniotic Membrane Tissue Graft Using Supercritical Carbon Dioxide","Tissue Engineering Part C: Methods","","","10.1089/ten.tec.2014.0304","","","2015","2022-01-29 21:21:23","2022-01-29 21:22:18","","649–659","","7","21","","","","","","","","","","en","","","","","","","Publisher: Mary Ann Liebert Inc Citation Key: wehmeyer2015","","/home/filipejunqueira/Zotero/storage/N3EZRZTD/Wehmeyer et al. - 2015 - Development of a Sterile Amniotic Membrane Tissue .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TAB35MH","journalArticle","2019","Marsit, Nagi M.; Sidney, Laura E.; Britchford, Emily R.; McIntosh, Owen D.; Allen, Claire L.; Ashraf, Waheed; Bayston, Roger; Hopkinson, Andrew","Validation and assessment of an antibiotic-based, aseptic decontamination manufacturing protocol for therapeutic, vacuum-dried human amniotic membrane","Scientific Reports","","","10.1038/s41598-019-49314-7","","","2019","2022-01-29 21:21:23","2022-01-29 21:22:20","","12854–12854","","1","9","","","","","","","","","","en","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: marsit2019","","/home/filipejunqueira/Zotero/storage/DEE9WXAE/Marsit et al. - 2019 - Validation and assessment of an antibiotic-based, .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AUI7HKW","journalArticle","2017","Jirsova, Katerina; Jones, Gary L. A.","Amniotic membrane in ophthalmology: properties, preparation, storage and indications for grafting—a review","Cell and Tissue Banking","","","10.1007/s10561-017-9618-5","","","2017","2022-01-29 21:21:23","2022-01-29 21:22:18","","193–204","","2","18","","","","","","","","","","en","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: jirsova2017","","/home/filipejunqueira/Zotero/storage/432P9Q42/Jirsova and Jones - 2017 - Amniotic membrane in ophthalmology properties, pr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75YN2423","journalArticle","2016","Ma, Kelly N.; Thanos, Aristomenis; Chodosh, James; Shah, Ankoor S.; Mantagos, Iason S.","A Novel Technique for Amniotic Membrane Transplantation in Patients with Acute Stevens-Johnson Syndrome","The Ocular Surface","","","10.1016/j.jtos.2015.07.002","","","2016","2022-01-29 21:21:23","2022-01-29 21:22:17","","31–36","","1","14","","","","","","","","","","fr","","","","","","","Publisher: Elsevier BV Citation Key: ma2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLTE3S8V","journalArticle","2020","Shanbhag, Swapna S.; Hall, Leangelo; Chodosh, James; Saeed, Hajirah N.","Long-term outcomes of amniotic membrane treatment in acute Stevens-Johnson syndrome/toxic epidermal necrolysis","The Ocular Surface","","","10.1016/j.jtos.2020.03.004","","","2020","2022-01-29 21:21:23","2022-01-29 21:22:19","","517–522","","3","18","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: shanbhag2020","","/home/filipejunqueira/Zotero/storage/3B2QWMEV/Shanbhag et al. - 2020 - Long-term outcomes of amniotic membrane treatment .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS2S9FJ7","journalArticle","2021","Maqsood, Sundas; Elsawah, Kareem; Dhillon, Navpreet; Soliman, Shady; Laginaf, Masara; Lodhia, Vaishali; Lake, Damian; Hamada, Samer; Elalfy, Mohamed","Management of Persistent Corneal Epithelial Defects with Human Amniotic Membrane-derived Dry Matrix","Clinical Ophthalmology","","","10.2147/opth.s299141","","","2021","2022-01-29 21:21:23","2022-01-29 21:22:19","","2231–2238","","","15","","","","","","","","","","en","","","","","","","Publisher: Informa UK Limited Citation Key: maqsood2021","","/home/filipejunqueira/Zotero/storage/W2MZDQ99/Maqsood et al. - 2021 - Management of Persistent Corneal Epithelial Defect.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B57FP4L8","journalArticle","2020","Schuerch, Kaspar; Baeriswyl, Andrea; Frueh, Beatrice E.; Tappeiner, Christoph","Efficacy of Amniotic Membrane Transplantation for the Treatment of Corneal Ulcers","Cornea","","","10.1097/ico.0000000000002179","","","2020","2022-01-29 21:21:23","2022-01-29 21:22:19","","479–483","","4","39","","","","","","","","","","en","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: schuerch2020","","/home/filipejunqueira/Zotero/storage/DGXCHBKB/Schuerch et al. - 2020 - Efficacy of Amniotic Membrane Transplantation for .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELTJPFMK","journalArticle","1982","Adinolfi, M.; Akle, C.A.; McColl, I.; Fensom, A.H.; Tansley, L.; Connolly, P.; Hsi, B.L.; Faulk, W.P.; Travers, P.; Bodmer, W.F.","Expression of HLA antigens, beta 2-microglobulin and enzymes by human amniotic epithelial cells","Nature","","","10.1038/295325a0","https://www.nature.com/articles/295325a0","","1982","2022-01-29 21:21:23","2022-01-29 21:47:33","","325–7","","5847","295","","","","","","","","","","en","","","","","","","Citation Key: adinolfi1982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NN5ZIPR","journalArticle","2006","Rinastiti, M.; Harijadi; Santoso, A. L. S.; Sosroseno, W.","Histological evaluation of rabbit gingival wound healing transplanted with human amniotic membrane","International Journal of Oral and Maxillofacial Surgery","","","10.1016/j.ijom.2005.09.012","","","2006","2022-01-29 21:21:23","2022-01-29 21:22:19","","247–251","","3","35","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: rinastiti2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FT3YRUPS","journalArticle","2008","Niknejad, H.; Peirovi, and H.; Jorjani, M.; Ahmadiani, A.; Ghanavi, J.; Seifalian, A. M.","Properties of the amniotic membrane for potential use in tissue engineering","European Cells and Materials","","","10.22203/ecm.v015a07","","","2008","2022-01-29 21:21:23","2022-01-29 21:22:20","","88–99","","","7","","","","","","","","","","en","","","","","","","Publisher: European Cells and Materials Citation Key: niknejad2008","","/home/filipejunqueira/Zotero/storage/DZI9Y3P7/Niknejad et al. - 2008 - Properties of the amniotic membrane for potential .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYNWHRKV","journalArticle","2002","Meller, D.","Ex vivo preservation and expansion of human limbal epithelial stem cells on amniotic membrane cultures","British Journal of Ophthalmology","","","10.1136/bjo.86.4.463","","","2002","2022-01-29 21:21:23","2022-01-29 21:22:19","","463–471","","4","86","","","","","","","","","","en","","","","","","","Publisher: BMJ Citation Key: meller2002","","/home/filipejunqueira/Zotero/storage/6F86L84J/Meller - 2002 - Ex vivo preservation and expansion of human limbal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFDEV8G2","journalArticle","2001","Shimmura, Shigeto; Jun Shimazaki; Ohashi, Yoshie; Tsubota, Kazuo","Antiinflammatory effects of amniotic membrane transplantation in ocular surface disorders","Cornea","","","10.1097/00003226-200105000-00015","","","2001","2022-01-29 21:21:23","2022-01-29 21:53:37","","408–413","","4","20","","","","","","","","","","en","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: shimmura2001","","/home/filipejunqueira/Zotero/storage/JZCZNSEY/Shimmura et al. - 2001 - Antiinflammatory effects of amniotic membrane tran.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MDHBGYC","journalArticle","2017","He, Hua; Kuriyan, Ajay E.; Su, Chen-Wei; Mahabole, Megha; Zhang, Yuan; Zhu, Ying-Ting; Flynn, Harry W.; Parel, Jean-Marie; Tseng, Scheffer C. G.","Inhibition of Proliferation and Epithelial Mesenchymal Transition in Retinal Pigment Epithelial Cells by Heavy Chain-Hyaluronan/Pentraxin 3","Scientific Reports","","","10.1038/srep43736","","","2017","2022-01-29 21:21:23","2022-01-29 21:22:19","","43736","","1","7","","","","","","","","","","en","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: he2017","","/home/filipejunqueira/Zotero/storage/8QAHNJFZ/He et al. - 2017 - Inhibition of Proliferation and Epithelial Mesench.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7ZYC8G5","journalArticle","2011","Shay, Elizabeth; He, Hua; Sakurai, Shunsuke; Tseng, Scheffer C. G.","Inhibition of angiogenesis by HC·HA, a complex of hyaluronan and the heavy chain of inter-α-inhibitor, purified from human amniotic membrane","Investigative Opthalmology & Visual Science","","","10.1167/iovs.10-5888","","","2011","2022-01-29 21:21:23","2022-01-29 21:22:19","","2669–78","","5","52","","","","","","","","","","en","","","","","","","Publisher: Association for Research in Vision and Ophthalmology (ARVO) Citation Key: shay2011","","/home/filipejunqueira/Zotero/storage/XVGLMX3U/Shay et al. - 2011 - Inhibition of angiogenesis by HC·HA, a complex of .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WSN7GLM","journalArticle","2001","Solomon, A.","Suppression of interleukin 1alpha and interleukin 1beta in human limbal epithelial cells cultured on the amniotic membrane stromal matrix","British Journal of Ophthalmology","","","10.1136/bjo.85.4.444","","","2001","2022-01-29 21:21:23","2022-01-29 21:22:20","","444–449","","4","85","","","","","","","","","","en","","","","","","","Publisher: BMJ Citation Key: solomon2001","","/home/filipejunqueira/Zotero/storage/8XS3WFM8/Solomon - 2001 - Suppression of interleukin 1alpha and interleukin .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKFPLVMX","journalArticle","1981","Rao, T. Viswanatha","Use of Dry Human and Bovine Amnion as a Biological Dressing","Archives of Surgery","","","10.1001/archsurg.1981.01380190029007","","","1981","2022-01-29 21:21:23","2022-01-29 21:22:20","","891–896","","7","116","","","","","","","","","","en","","","","","","","Publisher: American Medical Association (AMA) Citation Key: rao1981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S65TPJQA","journalArticle","1999","Fukuda, K.; Chikama, T.; Nakamura, M.; Nishida, T.","Differential distribution of subchains of the basement membrane components type IV collagen and laminin among the amniotic membrane, cornea, and conjunctiva","Cornea","","","10.1097/00003226-199901000-00013","","","1999","2022-01-29 21:21:23","2022-01-29 21:22:19","","73–79","","1","18","","","","","","","","","","it","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: fukuda1999","","/home/filipejunqueira/Zotero/storage/NTFZP4NI/Fukuda et al. - 1999 - Differential distribution of subchains of the base.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98PHEFTG","journalArticle","2009","Rahman, I.; Said, D. G.; Maharajan, V. S.; Dua, H. S.","Amniotic membrane in ophthalmology: indications and limitations","Eye","","","10.1038/eye.2008.410","","","2009","2022-01-29 21:21:23","2022-01-29 21:22:18","","1954–1961","","10","23","","","","","","","","","","fr","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: rahman2009","","/home/filipejunqueira/Zotero/storage/VYJR58LK/Rahman et al. - 2009 - Amniotic membrane in ophthalmology indications an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9LKIHU5","journalArticle","2017","Jaisingh, Kirti; Yadava, Usha; Dangda, Sonal; Thacker, Prolima; Singh, Kirti; Goel, Yashpal","Simultaneous use of amniotic membrane and Mitomycin C in trabeculectomy for primary glaucoma","Indian Journal of Ophthalmology","","","10.4103/ijo.ijo_447_17","","","2017","2022-01-29 21:21:23","2022-01-29 21:22:20","","1151","","11","65","","","","","","","","","","en","","","","","","","Publisher: Medknow Citation Key: jaisingh2017","","/home/filipejunqueira/Zotero/storage/KLMP5LTW/Jaisingh et al. - 2017 - Simultaneous use of amniotic membrane and Mitomyci.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGTCUCQ5","journalArticle","2012","Stavrakas, Panagiotis; Georgopoulos, Gerasimos; Milia; Papaconstantinou, Dimitris; Bafa; Stavrakas; Moschos","The use of amniotic membrane in trabeculectomy for the treatment of primary open-angle glaucoma: a prospective study","Clinical Ophthalmology","","","10.2147/opth.s27187","","","2012","2022-01-29 21:21:23","2022-01-29 21:22:20","","205–212","","","6","","","","","","","","","","en","","","","","","","Publisher: Informa UK Limited Citation Key: stavrakas2012","","/home/filipejunqueira/Zotero/storage/ZD7KSX5R/Stavrakas et al. - 2012 - The use of amniotic membrane in trabeculectomy for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEDLAA88","journalArticle","1998","Fujishima, Hiroshi; Shimazaki, Jun; Shinozaki, Naoshi; Tsubota, Kazuo","Trabeculectomy with the use of amniotic membrane for uncontrollable glaucoma","Ophthalmic Surgery, Lasers and Imaging Retina","","","10.3928/1542-8877-19980501-12","","","1998","2022-01-29 21:21:23","2022-01-29 21:22:20","","428–431","","5","29","","","","","","","","","","en","","","","","","","Publisher: SLACK, Inc. Citation Key: fujishima1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6FK87LZ","journalArticle","2008","Sheha, Hosam; Kheirkhah, Ahmad; Taha, Hamid","Amniotic membrane transplantation in trabeculectomy with mitomycin C for refractory glaucoma","Journal of Glaucoma","","","10.1097/ijg.0b013e31815c3a47","","","2008","2022-01-29 21:21:24","2022-01-29 21:22:18","","303–307","","4","17","","","","","","","","","","en","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: sheha2008","","/home/filipejunqueira/Zotero/storage/LHDZ48LB/Sheha et al. - 2008 - Amniotic membrane transplantation in trabeculectom.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCVIPGHJ","journalArticle","2013","Ji, Q.-S.; Qi, B.; Liu, L.; Lao, W.; Yang, Z.-H.; Wang, G.-F.; Yu, G.-C.; Zhong, J.-X.","Comparison of trabeculectomy and trabeculectomy with amniotic membrane transplantation in the same patient with bilateral glaucoma","Int J Ophthalmol","","","10.3980/j.issn.2222-3959.2013.04.07","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755301/","","2013","2022-01-29 21:21:24","2022-01-29 21:22:18","","448–451","","4","6","","","","","","","","","","en","","","","","","","Citation Key: ji2013","","/home/filipejunqueira/Zotero/storage/CHDU7CRY/Ji et al. - 2013 - Comparison of trabeculectomy and trabeculectomy wi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9Q238FP","journalArticle","2010","Mahdy, Reda A.; Nada, Waled M.; Almasalamy, Salah M.; Anany, Hesham A.; Almasary, Ayman M.","A freeze-dried (lyophilized) amniotic membrane transplantation with mitomycin C and trabeculectomy for pediatric glaucoma","Cutaneous and Ocular Toxicology","","","10.3109/15569521003775005","","","2010","2022-01-29 21:21:24","2022-01-29 21:22:17","","164–170","","3","29","","","","","","","","","","en","","","","","","","Publisher: Informa UK Limited Citation Key: mahdy2010","","/home/filipejunqueira/Zotero/storage/XVAJATWE/Mahdy et al. - 2010 - A freeze-dried (lyophilized) amniotic membrane tra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXIFZV3N","journalArticle","2006","Eliezer, Ricardo Nunes; Kasahara, Niro; Caixeta-Umbelino, Cristiano; Pinheiro, Renato Kingleufus; Junior, Carmo Mandia; Malta, Roberto Freire Santiago","Use of amniotic membrane in trabeculectomy for the treatment of glaucoma: a pilot study","Arquivos Brasileiros de Oftalmologia","","","10.1590/s0004-27492006000300005","","","2006","2022-01-29 21:21:24","2022-01-29 21:22:20","","309–312","","3","69","","","","","","","","","","en","","","","","","","Publisher: FapUNIFESP (SciELO) Citation Key: eliezer2006","","/home/filipejunqueira/Zotero/storage/LTPYWXEA/Eliezer et al. - 2006 - Use of amniotic membrane in trabeculectomy for the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
